BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Rumeli Turkuleri,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rune Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russelater,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Alt Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Alternative Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Ccm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Chanson,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Choir,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Classical Piano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Contemporary Classical,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Dance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Dance Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian DnB,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Drain,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Drill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian EDM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Emo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Emo Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Experimental Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Folk Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Folk Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Gangster Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Grime,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Hardcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Heavy Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Hyperpop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Indie Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Metalcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Minecraft,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Modern Classical,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Modern Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Nu Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Old School Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Orchestra,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Pop Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Post-Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Post-Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Power Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Punk Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Rave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Reggae,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Romance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Romanticism,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Shoegaze,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Ska,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Synthpop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Techno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Thrash Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Trance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Trap Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Underground Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Viral Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Viral Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Russian Witch House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rusyn Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ruta Destroy,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rva Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rwandan Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rwandan Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ryukoka,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ryukyu Ongaku,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sacramento Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sacramento Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sacred Steel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sad Lo-Fi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sad Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salon Music,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Choke,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Colombiana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Cristiana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Cubana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa International,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Peruana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Puertorriquena,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Urbana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salsa Venezolana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Salzburg Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba De Roda,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba Gospel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba Moderno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba Paulista,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba Reggae,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba-Enredo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba-Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samba-Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sambass,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sami,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samoan Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samurai Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,San Antonio Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,San Diego Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,San Diego Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,San Marcos Tx Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sandalwood,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sanfona,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sardinia Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sarod,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Saskatchewan Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sasscore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scam Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scandinavian R&B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scandipop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Schlager,,,,,,,,,,,,,,,,,,,,,
,,,,,,,School Choir,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Schranz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Schweizer Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sci-Fi Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scorecore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Americana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Drill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Fiddle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Gaelic Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Indie Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Indie Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish New Wave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Smallpipe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scottish Techno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scouse Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scratch,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scream Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Screamo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Screamocore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sean-Nos Singing,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seattle Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seattle Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seattle Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Second Line,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seemannslieder,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sefardi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sega,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sega Mauricien,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seinen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seiyu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Semarang Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Semba,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Senegalese Traditional,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serbian Alternative Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serbian Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serbian Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serbian Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serbian Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serialism,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sertanejo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sertanejo Gospel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sertanejo Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sertanejo Tradicional,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sertanejo Universitario,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sesame Street,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sesotho Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sesotho Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sevdah,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sevilla Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sevillanas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seychelles Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shaabi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shabad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shakuhachi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shamanic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shamisen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shanty,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shatta,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sheffield Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sheilat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shib,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shibuya-Kei,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shimmer Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shimmer Psych,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shiver Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shoegaze,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shoegaze Brasileiro,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shoegaze Chileno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shojo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sholawat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shonen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Show Tunes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shred,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shush,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Siberian Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sierra Leonean Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sierreno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sigilkore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sinaloa Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Mandopop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singaporean Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Singing Bowl,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sinhala Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sinhala Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sinhala Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sinogaze,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sitar,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Argentino,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Catala,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Chileno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Espanol,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Mexicano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ska Revival,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skansk Musik,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skate Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skiffle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skramz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skweee,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sky Room,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slack-Key Guitar,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slam Death Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slam Poetry,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slamming Deathcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slap House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slavic Folk Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slavic Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slayer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slc Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sleaze Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sleep,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovak Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovenian Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovenian Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovenian Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovenian Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slovenian Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slow Game,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slowcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slowed And Reverb,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sludge Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Slushwave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Small Room,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Smooth Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Smooth Saxophone,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Smooth Soul,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Smutny Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soca,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Socal Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Socal Pop Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Social Media Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soda Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soft Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Solipsynthm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Solo Wave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Solomon Islands Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Somali Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Somatik Techno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Son Cubano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Son Cubano Clasico,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Son Jarocho,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sonora Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sophisti-Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sorani Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sotalaulut,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soukous,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soul,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soul Blues,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soul Flow,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soul Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Souldies,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soulful House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sound,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sound Art,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sound Team,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soundtrack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Alternative,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Choral,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Country,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Deep House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Gospel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Modern Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Pop Dance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African R&B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South African Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South Asian Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South Carolina Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South Carolina Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South Carolina Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South Dakota Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,South Sudanese Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southampton Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southeast Asian Post-Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Americana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern China Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Gospel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Soul,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Southern Soul Blues,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Soviet Synthpop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sovietwave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Space Age Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Space Ambient,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Space Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spacewave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Baroque,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Blues,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Classical,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Classical Piano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Electropop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Experimental,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Folk Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Folk Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Indie Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Indie Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Indie Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Invasion,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Modern Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish New Wave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Noise Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Pop Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Post-Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Post-Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Prog,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Progressive Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Psychedelic Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Reggae,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Renaissance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Rockabilly,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Stoner Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Synthpop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spanish Techno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spectra,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sped Up,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Speed Garage,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Speed Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Speedcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Speedrun,,,,,,,,,,,,,,,,,,,,,
