BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,Main Genre: Rock,Afro Drill,,Innocent,,,,,,,,,,,Charming,Antiques,,,Fear and Dread,,,,
,,,,,,Blues Rock,Afro House,,Inspirational,,,,,,,,,,,Cheeky,Anxiety,,,Metaphorical and Symbolic,,,,
,,,,,,Folk Rock,Afro Psych,,Intense / Martial,,,,,,,,,,,Cheerful,Anxious,,,Storytelling and Narrative,,,,
,,,,,,Hard Rock,Afro R&B,,Intimate,,,,,,,,,,,Cheery,Aor,,,Intense Struggles and Despair,,,,
,,,,,,Indie / Alternative,Afro Soul,,Introspective,,,,,,,,,,,Cheesy,Apocalypse,,,,,,,
,,,,,,Progressive / Psychedelic Rock,Afro-Cuban Percussion,,Joyous,,,,,,,,,,,Chic,Apocalyptic,,,,,,,
,,,,,,Punk,Afro-Cuban Traditional,,Kind,,,,,,,,,,,Chill Out,Appal,,,,,,,
,,,,,,RocknRoll,Afro-Funk,,Lazy,,,,,,,,,,,Classy,Apprehensive,,,,,,,
,,,,,,Soft / Pop Rock,Afrobeat,,Leisurely,,,,,,,,,,,Clean,Arabian,,,,,,,
,,,,,,,Afrobeat Brasileiro,,Light,,,,,,,,,,,Climax,Arcane,,,,,,,
,,,,,,,Afrobeat Fusion,,Lighthearted,,,,,,,,,,,Cold,Architecture,,,,,,,
,,,,,,,Afrofuturism,,Lonely,,,,,,,,,,,Colourful,Archive,,,,,,,
,,,,,,,Afrofuturismo Brasileiro,,Loving,,,,,,,,,,,Combative,Ardent,,,,,,,
,,,,,,,Afropop,,Lyrical,,,,,,,,,,,Comforting,Armed Forces,,,,,,,
,,,,,,,Afroswing,,Majestic,,,,,,,,,,,Comical,Army,,,,,,,
,,,,,,,Aggro Chileno,,Melancholy,,,,,,,,,,,Commanding,Arousing,,,,,,,
,,,,,,,Aggrotech,,Menacing / Shocking,,,,,,,,,,,Communication,Arp,,,,,,,
,,,,,,,Ai,,Mischievous,,,,,,,,,,,Compassionate,Arrangement,,,,,,,
,,,,,,,Alabama Indie,,Motivational,,,,,,,,,,,Competition,Art House,,,,,,,
,,,,,,,Alabama Metal,,Mournful / Funereal / Pathos,,,,,,,,,,,Concerned,Arts,,,,,,,
,,,,,,,Alabama Rap,,Mysterious / Confused,,,,,,,,,,,Confident,Artsy,,,,,,,
,,,,,,,Alaska Indie,,Nervous,,,,,,,,,,,Contemplative,Ascending,,,,,,,
